iy,id,it,imin,qn,qh,qe,qs,qf,U,RH,Tair,pres,rain,kdown,snow,ldown,fcld,Wuh,xsmd,lai,kdiff,Kdir,wdir
2017,273,0,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,73,20.56,29.42,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.461,-999.00,-999.00,0,-999.00
2017,273,1,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,70,20.56,29.42,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.459,-999.00,-999.00,0,-999.00
2017,273,2,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,73,20.00,29.41,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.457,-999.00,-999.00,0,-999.00
2017,273,3,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,76,19.44,29.4,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.456,-999.00,-999.00,0,-999.00
2017,273,4,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,76,19.44,29.4,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.456,-999.00,-999.00,0,-999.00
2017,273,5,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,76,19.44,29.41,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.453,-999.00,-999.00,0,-999.00
2017,273,6,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,79,19.44,29.42,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.451,-999.00,-999.00,0,-999.00
2017,273,7,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,73,21.11,29.44,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.449,-999.00,-999.00,20,-999.00
2017,273,8,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,66,22.78,29.44,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.451,-999.00,-999.00,277,-999.00
2017,273,9,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,54,25.00,29.45,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.443,-999.00,-999.00,492,-999.00
