Year  DOY Hour  Min  Dectime      Kdown        Kup      Ldown        Lup      Tsurf         QN         QF         QS         QH         QE       Rain        Irr       Evap         RO          TotCh         SurfCh      State  NWtrState   Drainage       SMD    Zenith   Azimuth   AlbBulk      Fcld       LAI     UStar            Lob        Fc        Ts        T2        Q2       U10
2017  121    0    0 120.0000     0.0000     0.0000   329.9011   370.4875    11.5883   -40.5863    12.4232   -54.1572    24.6768     1.3172     0.0000     0.0000     0.0019     0.0000      -0.001927       0.000000     0.0000     0.0000     0.0000    0.0019  170.4283  330.6743    0.1410    0.4807    0.4603    0.1500      -8.798853    0.0000   15.6123   12.0510    6.4883    0.5200
2017  121    1    0 120.0417     0.0000     0.0000   329.8185   368.1238    11.1112   -38.3052     9.9467   -53.0163    23.4720     1.1858     0.0000     0.0000     0.0017     0.0000      -0.001733       0.000000     0.0000     0.0000     0.0000    0.0037  167.7199   48.9729    0.1410    0.5059    0.4615    0.1500      -8.798560    0.0000   14.9346   11.5517    6.5004    0.5199
2017  121    2    0 120.0833     0.0000     0.0000   329.2205   366.7378    10.8363   -37.5173     7.9784   -52.4196    21.7822     1.0985     0.0000     0.0000     0.0016     0.0000      -0.001599       0.000000     0.0000     0.0000     0.0000    0.0053  156.1319   75.2729    0.1410    0.5151    0.4615    0.1500      -8.798560    0.0000   14.3829   11.2461    6.4645    0.5199
2017  121    3    0 120.1250     0.0000     0.0000   325.4849   372.3631    12.0125   -46.8783     6.9383   -56.9752    15.8679     1.1672     0.0000     0.0000     0.0017     0.0000      -0.001695       0.000000     0.0000     0.0000     0.0000    0.0070  143.3569   86.4285    0.1410    0.4171    0.4615    0.1719     -37.834160    0.0000   13.9959   12.2834    6.1330    0.9429
2017  121    4    0 120.1667     0.0000     0.0000   325.1360   374.4226    12.4288   -49.2866     6.5368   -58.7976    15.0204     1.0274     0.0000     0.0000     0.0015     0.0000      -0.001492       0.000000     0.0000     0.0000     0.0000    0.0084  130.4303   93.9873    0.1410    0.3933    0.4615    0.4610    -876.547955    0.0000   12.9851   12.4985    6.0456    4.3848
2017  121    5    0 120.2083     0.0000     0.0000   344.0381   383.5056    14.0288   -39.4675     6.3195   -54.2343    20.1542     0.9320     0.0000     0.0000     0.0014     0.0000      -0.001357       0.000000     0.0000     0.0000     0.0000    0.0098  117.6136  100.4891    0.1410    0.4859    0.4615    0.5472    -997.029255    0.0000   14.6751   14.1049    7.4415    5.2467
2017  121    6    0 120.2500     0.0000     0.0000   363.2997   398.5196    16.7387   -35.2199     6.7474   -51.5594    22.0261     1.0608     0.0000     0.0000     0.0015     0.0000      -0.001548       0.000000     0.0000     0.0000     0.0000    0.0114  105.0676  106.8988    0.1410    0.5204    0.4615    0.6913   -1832.684140    0.0000   17.3342   16.8042    8.9283    6.7478
2017  121    7    0 120.2917     0.0000     0.0000   373.8976   416.0654    19.9313   -42.1677     9.3345   -54.5511    20.0660     1.6518     0.0000     0.0000     0.0024     0.0000      -0.002414       0.000000     0.0000     0.0000     0.0000    0.0138   92.3141  113.7943    0.1410    0.4357    0.4615    0.7504   -2592.667057    0.0000   20.4472   19.9866    9.5315    7.3733
2017  121    8    0 120.3333     0.0000     0.0000   375.7470   431.3979    22.7100   -55.6509    15.4104   -61.5395    18.7278     2.5712     0.0000     0.0000     0.0038     0.0000      -0.003760       0.000000     0.0000     0.0000     0.0000    0.0175   81.3191  121.6992    0.1410    0.3098    0.4615    0.9573   -5495.179954    0.0000   23.1107   22.7503    8.9495    9.5000
2017  121    9    0 120.3750     0.0000     0.0000   378.8674   444.0539    24.9313   -65.1865    21.0124   -67.1729    19.5749     3.4238     0.0000     0.0000     0.0050     0.0000      -0.005008       0.000000     0.0000     0.0000     0.0000    0.0225   70.9526  131.2020    0.1410    0.2391    0.4615    0.8968   -4159.073562    0.0000   25.3757   24.9768    8.4744    8.8746
