Year  DOY Hour  Min  Dectime      Kdown        Kup      Ldown        Lup      Tsurf         QN         QF         QS         QH         QE       Rain        Irr       Evap         RO          TotCh         SurfCh      State  NWtrState   Drainage       SMD    Zenith   Azimuth   AlbBulk      Fcld       LAI     UStar            Lob        Fc        Ts        T2        Q2       U10
2017  121    0    0 120.0000     0.0000     0.0000   329.9011   370.7018    11.5883   -40.8006    12.4232   -54.0275    24.3420     1.3080     0.0000     0.0000     0.0019     0.0000      -0.001915       0.000000     0.0000     0.0000     0.0000    0.0019  170.4283  330.6743    0.1335    0.4807    0.4803    0.1500      -8.741170    0.0000   15.5577   12.0450    6.4879    0.5091
2017  121    1    0 120.0417     0.0000     0.0000   329.8185   368.3260    11.1112   -38.5075     9.9467   -52.8834    23.1454     1.1771     0.0000     0.0000     0.0017     0.0000      -0.001721       0.000000     0.0000     0.0000     0.0000    0.0036  167.7199   48.9729    0.1335    0.5059    0.4816    0.1500      -8.740844    0.0000   14.8814   11.5459    6.5000    0.5091
2017  121    2    0 120.0833     0.0000     0.0000   329.2205   366.9359    10.8363   -37.7154     7.9784   -52.2852    21.4582     1.0900     0.0000     0.0000     0.0016     0.0000      -0.001587       0.000000     0.0000     0.0000     0.0000    0.0052  156.1319   75.2729    0.1335    0.5151    0.4816    0.1500      -8.740844    0.0000   14.3301   11.2404    6.4641    0.5091
2017  121    3    0 120.1250     0.0000     0.0000   325.4849   372.6107    12.0125   -47.1258     6.9383   -56.8540    15.5104     1.1561     0.0000     0.0000     0.0017     0.0000      -0.001679       0.000000     0.0000     0.0000     0.0000    0.0069  143.3569   86.4285    0.1335    0.4171    0.4816    0.1726     -39.730912    0.0000   13.9302   12.2762    6.1333    0.9369
2017  121    4    0 120.1667     0.0000     0.0000   325.1360   374.6828    12.4288   -49.5468     6.5368   -58.6809    14.6498     1.0211     0.0000     0.0000     0.0015     0.0000      -0.001483       0.000000     0.0000     0.0000     0.0000    0.0084  130.4303   93.9873    0.1335    0.3933    0.4816    0.4667    -933.908211    0.0000   12.9484   12.4947    6.0459    4.3849
2017  121    5    0 120.2083     0.0000     0.0000   344.0381   383.7140    14.0288   -39.6759     6.3195   -54.1040    19.8227     0.9248     0.0000     0.0000     0.0013     0.0000      -0.001346       0.000000     0.0000     0.0000     0.0000    0.0097  117.6136  100.4891    0.1335    0.4859    0.4816    0.5542   -1052.074875    0.0000   14.6372   14.1014    7.4417    5.2467
2017  121    6    0 120.2500     0.0000     0.0000   363.2997   398.7055    16.7387   -35.4059     6.7474   -51.4221    21.7103     1.0533     0.0000     0.0000     0.0015     0.0000      -0.001537       0.000000     0.0000     0.0000     0.0000    0.0113  105.0676  106.8988    0.1335    0.5204    0.4816    0.7006   -1931.476866    0.0000   17.3001   16.8013    8.9286    6.7478
2017  121    7    0 120.2917     0.0000     0.0000   373.8976   416.2880    19.9313   -42.3904     9.3345   -54.4230    19.7232     1.6439     0.0000     0.0000     0.0024     0.0000      -0.002403       0.000000     0.0000     0.0000     0.0000    0.0137   92.3141  113.7943    0.1335    0.4357    0.4816    0.7606   -2741.696135    0.0000   20.4163   19.9840    9.5320    7.3734
2017  121    8    0 120.3333     0.0000     0.0000   375.7470   431.6917    22.7100   -55.9447    15.4104   -61.4313    18.3332     2.5637     0.0000     0.0000     0.0037     0.0000      -0.003749       0.000000     0.0000     0.0000     0.0000    0.0174   81.3191  121.6992    0.1335    0.3098    0.4816    0.9706   -5834.150410    0.0000   23.0850   22.7483    8.9503    9.5000
2017  121    9    0 120.3750     0.0000     0.0000   378.8674   444.3981    24.9313   -65.5307    21.0124   -67.0798    19.1470     3.4145     0.0000     0.0000     0.0050     0.0000      -0.004994       0.000000     0.0000     0.0000     0.0000    0.0224   70.9526  131.2020    0.1335    0.2391    0.4816    0.9092   -4412.250323    0.0000   25.3468   24.9744    8.4754    8.8735
2017  121   10    0 120.4167     0.0000     0.0000   379.6463   454.8673    26.7387   -75.2210    21.4666   -72.7297    14.7451     4.2303     0.0000     0.0000     0.0062     0.0000      -0.006188       0.000000     0.0000     0.0000     0.0000    0.0286   62.1357  142.9273    0.1335    0.1841    0.4816    0.7709   -3372.197599    0.0000   27.1056   26.7783    7.7478    7.4990
2017  121   11    0 120.4583     0.0000     0.0000   385.4704   467.4019    28.8213   -81.9315    20.2949   -76.9234    10.2441     5.0427     0.0000     0.0000     0.0074     0.0000      -0.007379       0.000000     0.0000     0.0000     0.0000    0.0360   55.6737  157.3186    0.1335    0.1518    0.4816    0.8929   -6935.000346    0.0000   29.0509   28.8451    7.4641    8.7500
2017  121   12    0 120.5000     0.0000     0.0000   391.6367   477.6982    30.4900   -86.0615    20.4792   -79.6585     8.3499     5.7263     0.0000     0.0000     0.0084     0.0000      -0.008384       0.000000     0.0000     0.0000     0.0000    0.0444   52.4600  174.0518    0.1335    0.1343    0.4816    0.8797   -7424.746501    0.0000   30.6804   30.5098    7.3940    8.6250
2017  121   13    0 120.5417     0.0000     0.0000   397.6228   485.1586    31.6700   -87.5359    20.6109   -80.8615     7.7292     6.2073     0.0000     0.0000     0.0091     0.0000      -0.009092       0.000000     0.0000     0.0000     0.0000    0.0535   53.0988  191.5141    0.1335    0.1279    0.4816    0.6683   -3314.788015    0.0000   31.8900   31.6944    7.5539    6.4988
2017  121   14    0 120.5833     0.0000     0.0000   402.5755   491.3627    32.6412   -88.7871    20.7096   -81.7156     7.0331     6.6049     0.0000     0.0000     0.0097     0.0000      -0.009679       0.000000     0.0000     0.0000     0.0000    0.0631   57.4578  207.5925    0.1335    0.1227    0.4816    0.7174   -4222.597374    0.0000   32.8314   32.6620    7.6665    7.0000
2017  121   15    0 120.6250     0.0000     0.0000   401.1906   490.8654    32.5712   -89.6747    21.1112   -82.3483     7.1751     6.6095     0.0000     0.0000     0.0097     0.0000      -0.009684       0.000000     0.0000     0.0000     0.0000    0.0728   64.7862  221.1046    0.1335    0.1202    0.4816    0.8045   -5844.706699    0.0000   32.7481   32.5900    7.5208    7.8750
2017  121   16    0 120.6667     0.0000     0.0000   397.2067   481.7271    31.1100   -84.5204    22.0986   -79.9021    11.5626     5.9176     0.0000     0.0000     0.0087     0.0000      -0.008668       0.000000     0.0000     0.0000     0.0000    0.0815   74.1858  232.0350    0.1335    0.1387    0.4816    0.8193   -4495.463121    0.0000   31.3895   31.1396    7.8262    8.0000
2017  121   17    0 120.7083     0.0000     0.0000   389.9752   471.3135    29.4413   -81.3383    23.3493   -78.0542    14.7986     5.2667     0.0000     0.0000     0.0077     0.0000      -0.007710       0.000000     0.0000     0.0000     0.0000    0.0892   84.8835  240.9392    0.1335    0.1529    0.4816    0.7963   -3477.952746    0.0000   29.8059   29.4803    7.7720    7.7494
2017  121   18    0 120.7500     0.0000     0.0000   384.3599   461.1794    27.7788   -76.8195    23.0004   -75.5391    17.0839     4.6361     0.0000     0.0000     0.0068     0.0000      -0.006784       0.000000     0.0000     0.0000     0.0000    0.0960   96.8304  248.4494    0.1335    0.1744    0.4816    0.6146   -1479.027013    0.0000   28.2927   27.8385    7.9018    5.8726
2017  121   19    0 120.7917     0.0000     0.0000   377.1650   451.4988    26.1800   -74.3338    19.9657   -73.9568    15.4673     4.1214     0.0000     0.0000     0.0060     0.0000      -0.006027       0.000000     0.0000     0.0000     0.0000    0.1020  109.1005  255.1138    0.1335    0.1891    0.4816    0.4458    -674.918719    0.0000   26.7732   26.2577    7.7500    4.1216
2017  121   20    0 120.8333     0.0000     0.0000   372.8462   443.7066    24.8613   -70.8605    16.7270   -71.9486    14.2390     3.5761     0.0000     0.0000     0.0052     0.0000      -0.005227       0.000000     0.0000     0.0000     0.0000    0.1072  121.7493  261.4544    0.1335    0.2094    0.4816    0.8324   -4670.591846    0.0000   25.1972   24.8969    7.7587    8.1245
2017  121   21    0 120.8750     0.0000     0.0000   359.7527   432.0846    22.9188   -72.3319    14.5283   -72.3978    11.4188     3.1755     0.0000     0.0000     0.0046     0.0000      -0.004635       0.000000     0.0000     0.0000     0.0000    0.1119  134.6288  268.1220    0.1335    0.2057    0.4816    0.8178   -5469.558092    0.0000   23.1877   22.9472    6.9432    8.0000
2017  121   22    0 120.9167     0.0000     0.0000   355.8328   424.5532    21.6000   -68.7204    13.5014   -70.6291    12.6102     2.7999     0.0000     0.0000     0.0041     0.0000      -0.004085       0.000000     0.0000     0.0000     0.0000    0.1160  147.5514  276.3396    0.1335    0.2287    0.4816    0.7069   -3340.285019    0.0000   21.9329   21.6366    6.9748    6.8740
2017  121   23    0 120.9583     0.0000     0.0000   352.4811   416.3707    20.1388   -63.8896    13.0011   -68.0102    14.7178     2.4039     0.0000     0.0000     0.0035     0.0000      -0.003506       0.000000     0.0000     0.0000     0.0000    0.1195  160.1633  289.9416    0.1335    0.2622    0.4816    0.5500   -1353.030049    0.0000   20.6064   20.1941    7.0900    5.2475
2017  122    0    0 121.0000     0.0000     0.0000   353.7072   412.2635    19.3712   -58.5562    12.2107   -65.0422    14.8771     3.8195     0.0000     0.2045     0.0056     0.0000       0.198908       0.201353     0.2014     0.2014     0.0002    0.1219  170.5192  329.7823    0.1335    0.3017    0.4825    0.5396   -1128.326806    0.0000   19.8492   19.4284    7.4495    5.1224
2017  122    1    0 121.0417     0.0000     0.0000   357.9601   407.2440    18.4000   -49.2839    12.2394   -60.0088   -43.4954    66.4597     0.0000     1.2269     0.0970     0.0155       1.114449       1.006118     1.2075     1.2075     0.1360    0.0136  167.8880   49.1678    0.1336    0.3791    0.4871    0.5801   -1098.642777    0.0000   17.0935   18.2444    8.1454    5.5078
2017  122    2    0 121.0833     0.0000     0.0000   359.8270   404.0188    17.7787   -44.1918     9.8174   -56.7839   -33.7150    56.1245     0.0000     1.2269     0.0819     0.8873       0.257675       0.257797     1.4653     1.4653     0.9729    0.0137  156.2766   75.5079    0.1336    0.4274    0.4871    0.3797    -324.901401    0.0000   16.4018   17.5773    8.4763    3.3750
2017  122    3    0 121.1250     0.0000     0.0000   362.2427   401.5420    17.2900   -39.2993     8.5376   -53.8404   -32.1364    55.2150     0.0000     1.2269     0.0806     1.1267       0.019647       0.019748     1.4850     1.4850     1.2316    0.0138  143.4945   86.6039    0.1336    0.4774    0.4871    0.3457    -227.295298    0.0000   15.9005   17.0757    8.7968    3.0000
