Year  DOY Hour  Min  Dectime      Kdown        Kup      Ldown        Lup      Tsurf         QN         QF         QS         QH         QE       Rain        Irr       Evap         RO          TotCh         SurfCh      State  NWtrState   Drainage       SMD    Zenith   Azimuth   AlbBulk      Fcld       LAI     UStar            Lob        Fc        Ts        T2        Q2       U10
2017  121    0    0 120.0000     0.0000     0.0000   329.9011   370.4875    11.5883   -40.5863    50.8307   -54.1572    62.0669     2.3346     0.0000     0.0000     0.0034     0.0000      -0.003405       0.000000     0.0000     0.0000     0.0000    0.0034  170.4283  330.6743    0.1410    0.4807    0.4602    0.1500      -7.807653    0.0000   21.7095   12.7317    6.5375    0.3914
2017  121    1    0 120.0417     0.0000     0.0000   329.8185   368.1238    11.1112   -38.3052    40.6978   -53.0163    53.4294     1.9794     0.0000     0.0000     0.0029     0.0000      -0.002877       0.000000     0.0000     0.0000     0.0000    0.0063  167.7199   48.9729    0.1410    0.5059    0.4613    0.1500      -7.807360    0.0000   19.8144   12.1017    6.5397    0.3914
2017  121    2    0 120.0833     0.0000     0.0000   329.2205   366.7378    10.8363   -37.5173    32.6444   -52.4196    45.8217     1.7250     0.0000     0.0000     0.0025     0.0000      -0.002505       0.000000     0.0000     0.0000     0.0000    0.0088  156.1319   75.2729    0.1410    0.5151    0.4613    0.1500      -7.807360    0.0000   18.2972   11.6920    6.4963    0.3914
2017  121    3    0 120.1250     0.0000     0.0000   325.4849   372.3631    12.0125   -46.8783    28.3888   -56.9752    36.9419     1.5437     0.0000     0.0000     0.0022     0.0000      -0.002242       0.000000     0.0000     0.0000     0.0000    0.0110  143.3569   86.4285    0.1410    0.4171    0.4613    0.1933     -30.827803    0.0000   16.2002   12.5576    6.1496    0.8669
2017  121    4    0 120.1667     0.0000     0.0000   325.1360   374.4226    12.4288   -49.2866    26.7458   -58.7976    35.1271     1.1297     0.0000     0.0000     0.0016     0.0000      -0.001641       0.000000     0.0000     0.0000     0.0000    0.0127  130.4303   93.9873    0.1410    0.3933    0.4613    0.5784    -663.409197    0.0000   13.5587   12.5353    6.0363    4.3825
2017  121    5    0 120.2083     0.0000     0.0000   344.0381   383.5056    14.0288   -39.4675    25.8570   -54.2343    39.5993     1.0243     0.0000     0.0000     0.0015     0.0000      -0.001491       0.000000     0.0000     0.0000     0.0000    0.0142  117.6136  100.4891    0.1410    0.4859    0.4613    0.6793    -902.172006    0.0000   15.1512   14.1260    7.4332    5.2426
2017  121    6    0 120.2500     0.0000     0.0000   363.2997   398.5196    16.7387   -35.2199    27.6077   -51.5594    42.7892     1.1580     0.0000     0.0000     0.0017     0.0000      -0.001690       0.000000     0.0000     0.0000     0.0000    0.0159  105.0676  106.8988    0.1410    0.5204    0.4613    0.8551   -1670.421265    0.0000   17.7687   16.8212    8.9197    6.7451
2017  121    7    0 120.2917     0.0000     0.0000   373.8976   416.0654    19.9313   -42.1677    38.1929   -54.5511    48.7675     1.8087     0.0000     0.0000     0.0026     0.0000      -0.002643       0.000000     0.0000     0.0000     0.0000    0.0185   92.3141  113.7943    0.1410    0.4357    0.4613    0.9314   -1882.524091    0.0000   21.0411   20.0180    9.5199    7.3703
2017  121    8    0 120.3333     0.0000     0.0000   375.7470   431.3979    22.7100   -55.6509    63.0533   -61.5395    66.1103     2.8315     0.0000     0.0000     0.0041     0.0000      -0.004140       0.000000     0.0000     0.0000     0.0000    0.0226   81.3191  121.6992    0.1410    0.3098    0.4613    1.1896   -2853.743365    0.0000   23.9684   22.8020    8.9341    9.4962
2017  121    9    0 120.3750     0.0000     0.0000   378.8674   444.0539    24.9313   -65.1865    85.9744   -67.1729    84.1162     3.8446     0.0000     0.0000     0.0056     0.0000      -0.005623       0.000000     0.0000     0.0000     0.0000    0.0283   70.9526  131.2020    0.1410    0.2391    0.4613    1.1213   -1872.263278    0.0000   26.6223   25.0583    8.4573    8.8694
2017  121   10    0 120.4167     0.0000     0.0000   379.6463   454.4722    26.7387   -74.8259    87.8329   -72.8076    81.0443     4.7703     0.0000     0.0000     0.0070     0.0000      -0.006977       0.000000     0.0000     0.0000     0.0000    0.0352   62.1357  142.9273    0.1410    0.1841    0.4613    0.9596   -1202.137216    0.0000   28.5775   26.8841    7.7274    7.4925
2017  121   11    0 120.4583     0.0000     0.0000   385.4704   466.9716    28.8213   -81.5011    83.0385   -76.9903    72.9682     5.5595     0.0000     0.0000     0.0081     0.0000      -0.008136       0.000000     0.0000     0.0000     0.0000    0.0434   55.6737  157.3186    0.1410    0.1518    0.4613    1.1033   -2014.410619    0.0000   30.3271   28.9344    7.4389    8.7450
2017  121   12    0 120.5000     0.0000     0.0000   391.6367   477.2462    30.4900   -85.6095    83.7927   -79.7183    71.5998     6.3017     0.0000     0.0000     0.0092     0.0000      -0.009226       0.000000     0.0000     0.0000     0.0000    0.0526   52.4600  174.0518    0.1410    0.1343    0.4613    1.0883   -1965.643426    0.0000   31.9938   30.6035    7.3670    8.6199
2017  121   13    0 120.5417     0.0000     0.0000   397.6228   484.6989    31.6700   -87.0761    84.3314   -80.9185    71.2274     6.9464     0.0000     0.0000     0.0102     0.0000      -0.010175       0.000000     0.0000     0.0000     0.0000    0.0628   53.0988  191.5141    0.1410    0.1279    0.4613    0.8410    -906.132024    0.0000   33.4886   31.8203    7.5288    6.4912
